Nub_ID,Species,Coral,Color,Colony.No,Assignment ,Treatment,Tank,Initial ,Initial Temperature,Final,Final Temperature,
G125_Por2_CH_4.2,Porites,125,Green,2,CH,4,2,4.092,26.72,4.161,24.79,
G153_Por3_CH_4.2,Porites,153,Green,3,CH,4,2,4.08,26.657,4.223,24.79,
G155_Por3_TP_4.2,Porites,155,Green,3,TP,4,2,4.257,26.775,4.513,24.85,
G176_Por4_CH_4.2,Porites,176,Green,4,CH,4,2,4.583,26.852,4.783,24.79,
G186_Por5_CH_4.2,Porites,186,Green,5,CH,4,2,3.349,26.739,3.502,24.85,
R112_Por6_CH_4.2,Porites,112,RED,6,CH,4,2,3.505,26.775,3.362,24.85,
R125_Por7_TP_4.2,Porites,125,RED,7,TP,4,2,4.153,26.801,4.326,24.79,
R129_Por7_CH_4.2,Porites,129,RED,7,CH,4,2,2.772,26.833,2.842,24.79,
R167_Por8_TP_4.2,Porites,167,RED,8,TP,4,2,3.563,26.702,3.618,24.8,
R171_Por8_CH_4.2,Porites,171,RED,8,CH,4,2,5.365,26.655,5.414,24.79,
G038_Poc2_CH_4.3,Pocillopora,38,Green,2,CH,4,3,2.858,26.725,2.894,24.86,
G045_Poc3_CH_4.3,Pocillopora,45,Green,3,CH,4,3,3.51,27.108,3.583,24.87,
G046_Poc3_TP_4.3,Pocillopora,46,Green,3,TP,4,3,3.015,27.075,3.062,24.87,
G076_Poc4_CH_4.3,Pocillopora,76,Green,4,CH,4,3,3.622,26.97,3.652,24.87,
G086_Poc5_CH_4.3,Pocillopora,86,Green,5,CH,4,3,6.966,26.329,6.998,24.86,
R010_Poc6_CH_4.3,Pocillopora,10,RED,6,CH,4,3,4.15,26.302,4.207,24.87,
R033_Poc7_CH_4.3,Pocillopora,33,RED,7,CH,4,3,3.557,26.928,3.599,24.86,
R039_Poc7_TP_4.3,Pocillopora,39,RED,7,TP,4,3,2.554,26.98,2.587,24.86,
R043_Poc8_CH_4.3,Pocillopora,43,RED,8,CH,4,3,3.742,26.913,3.79,24.87,
R047_Poc8_TP_4.3,Pocillopora,47,RED,8,TP,4,3,3.82,26.892,3.88,24.86,
G130_Por2_CH_4.3,Porites,130,Green,2,CH,4,3,3.725,26.722,3.82,24.86,
G154_Por3_CH_4.3,Porites,154,Green,3,CH,4,3,4.589,26.73,4.895,24.86,
G163_Por4_CH_4.3,Porites,163,Green,4,CH,4,3,4.462,26.85,4.7,24.87,
G171_Por4_TP_4.3,Porites,171,Green,4,TP,4,3,4.149,26.846,4.396,24.86,
G197_Por5_CH_4.3,Porites,197,Green,5,CH,4,3,2.937,26.74,3.068,24.87,
R110_Por6_TP_4.3,Porites,110,RED,6,TP,4,3,5.383,26.73,5.565,24.86,
R120_Por6_CH_4.3,Porites,120,RED,6,CH,4,3,6.363,26.778,6.427,24.87,
R131_Por7_CH_4.3,Porites,131,RED,7,CH,4,3,4.037,26.744,4.195,24.87,
R170_Por8_CH_4.3,Porites,170,RED,8,CH,4,3,3.367,26.626,3.469,24.86,
G022_Poc2_CH_T0.,Pocillopora,22,Green,2,T0,NA,NA,3.641,26.765,,,
G034_Poc2_CH_T0.,Pocillopora,34,Green,2,T0,NA,NA,4.228,26.715,,,
G044_Poc3_CH_T0.,Pocillopora,44,Green,3,T0,NA,NA,3.952,27.132,,,
G058_Poc3_CH_T0.,Pocillopora,58,Green,3,T0,NA,NA,4.138,27.038,,,
G064_Poc4_CH_T0.,Pocillopora,64,Green,4,T0,NA,NA,2.999,26.971,,,
G067_Poc4_CH_T0.,Pocillopora,67,Green,4,T0,NA,NA,4.956,26.818,,,
G083_Poc5_CH_T0.,Pocillopora,83,Green,5,T0,NA,NA,4.129,26.35,,,
G084_Poc5_CH_T0.,Pocillopora,84,Green,5,T0,NA,NA,3.77,26.328,,,
R002_Poc6_CH_T0.,Pocillopora,2,RED,6,T0,NA,NA,5.205,26.368,,,
R017_Poc6_CH_T0.,Pocillopora,17,RED,6,T0,NA,NA,3.092,26.33,,,
R034_Poc7_CH_T0.,Pocillopora,34,RED,7,T0,NA,NA,5.361,26.942,,,
R035_Poc7_CH_T0.,Pocillopora,35,RED,7,T0,NA,NA,3.382,26.942,,,
R044_Poc8_CH_T0.,Pocillopora,44,RED,8,T0,NA,NA,5.679,26.917,,,
R051_Poc8_CH_T0.,Pocillopora,51,RED,8,T0,NA,NA,7.307,26.902,,,
G131_Por2_CH_T0.,Porites,131,Green,2,T0,NA,NA,2.915,26.753,,,
G133_Por2_CH_T0.,Porites,133,Green,2,T0,NA,NA,3.45,26.703,,,
G157_Por3_CH_T0.,Porites,157,Green,3,T0,NA,NA,4.972,26.765,,,
G158_Por3_CH_T0.,Porites,158,Green,3,T0,NA,NA,6.043,26.737,,,
