,ChamberID,LightM,LightB,LightR2,LightP,GoodLight?,DarkM,DarkB,DarkR2,DarkP,Good?,
117,W4.R2.C09,6.725800404,235.2334353,0.997729355,0.030347244,TRUE,-1.827821093,406.4281878,0.992006416,0.05699427,TRUE,
118,W4.R2.C10,8.700221961,268.0173957,0.989956309,0.063908185,TRUE,-3.189824926,486.103192,0.998402606,0.025450821,TRUE,
119,W4.R2.C11,4.870701194,263.2556324,0.999969546,0.003513189,TRUE,-1.49215727,395.6591166,0.999869011,0.00728631,TRUE,
120,W4.R2.C12,5.074519959,252.0823405,0.995219177,0.044053268,TRUE,-1.756451039,390.4526926,0.999926499,0.005457978,TRUE,
121,W4.R3.C01,20.67218355,148.5376086,0.988416351,0.068650682,TRUE,-9.059613345,602.825087,0.965214501,0.119434513,TRUE,
122,W4.R3.C02,3.036063582,227.6420129,0.99996976,0.003500836,TRUE,-1.697998232,330.8292195,0.989248127,0.06613076,TRUE,
123,W4.R3.C03,6.311172467,238.7389397,0.999957313,0.004159406,TRUE,-0.961199735,400.5439395,0.8577476,0.246201126,TRUE,
124,W4.R3.C04,7.917882319,252.3793297,0.99967751,0.011433035,TRUE,-2.251785241,446.5847134,0.996126852,0.039645409,TRUE,
125,W4.R3.C05,-0.004645149,285.958344,0.000172876,0.991629335,FALSE,-0.170657345,288.6289017,0.675370282,0.3859299,FALSE,
126,W4.R3.C06,7.34302936,270.6569388,0.99715577,0.033967891,TRUE,-2.585435347,442.3017763,0.986718737,0.073530218,TRUE,
127,W4.R3.C07,18.81518277,143.814963,0.90339708,0.201200643,TRUE,-4.27629667,523.255998,0.958527614,0.130559425,TRUE,
128,W4.R3.C08,5.84013696,230.1695665,0.990214353,0.06307914,TRUE,-2.248238432,391.159303,0.995311401,0.043625623,TRUE,
129,W4.R3.C09,4.175652463,250.8107071,0.995438161,0.04303094,TRUE,-0.810734467,384.0662562,0.558642304,0.462581026,TRUE,
130,W4.R3.C10,7.945067529,258.1689329,0.999871145,0.00722671,TRUE,-3.245970881,460.7459112,0.998658768,0.023320037,TRUE,
131,W4.R3.C11,6.493879557,231.0728076,0.999201308,0.017993991,TRUE,-0.802895344,368.8583243,0.630591327,0.41588751,TRUE,
