Nub_ID,Nubbin.ID,Colony,Nutrient.Level,Tank.Level,Species,Assignment,d.wt,Chip_X.mm,Chip_Y.mm,Chip_Z.mm,Dome.Cone,r,chunk_SA,nub_SA,Total_SA,bw.growth,std.growth
G140_Por2_CH_N2.T1,G140_Por2_CH,2,N2,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G141_Por3_CH_N0.T2,G141_Por3_CH,3,N0,T2,POR,CH,0.27865,10.32,6.5,5.57,Dome,NA,NA,NA,NA,NA,NA
G142_Por3_CH_N2.T2,G142_Por3_CH,3,N2,T2,POR,CH,0.6585,9.36,10,6.74,Dome,NA,NA,NA,NA,NA,NA
G143_Por3_CH_N1.T2,G143_Por3_CH,3,N1,T2,POR,CH,0.3971,6.92,6.06,4.71,Dome,NA,NA,NA,NA,NA,NA
G144_Por3_CH_N2.T3,G144_Por3_CH,3,N2,T3,POR,CH,0.37861,8.97,8.71,6.9,Dome,NA,NA,NA,NA,NA,NA
G145_Por3_CH_N1.T3,G145_Por3_CH,3,N1,T3,POR,CH,0.39965,7.7,8.6,6.82,Dome,NA,NA,NA,NA,NA,NA
G146_Por3_CH_N1.T1,G146_Por3_CH,3,N1,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G147_Por3_CH_N4.T3,G147_Por3_CH,3,N4,T3,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G148_Por3_CH_N3.T1,G148_Por3_CH,3,N3,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G149_Por3_CH_N2.T1,G149_Por3_CH,3,N2,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G150_Por3_TP_N0.T3,G150_Por3_TP,3,N0,T3,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G151_Por3_CH_N0.T1,G151_Por3_CH,3,N0,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G152_Por3_CH_N3.T2,G152_Por3_CH,3,N3,T2,POR,CH,0.37728,9.06,11.6,7.4,Dome,NA,NA,NA,NA,NA,NA
G153_Por3_CH_N4.T2,G153_Por3_CH,3,N4,T2,POR,CH,0.54182,8.25,8.16,6.5,Dome,NA,NA,NA,NA,NA,NA
G154_Por3_CH_N4.T1,G154_Por3_CH,3,N4,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G155_Por3_TP_N4.T2,G155_Por3_TP,3,N4,T2,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
